,number_in_team,team,headshot_src,lastName,firstName,id
77,15,Rockets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203991.png,Capela,Clint,77
78,9,Nets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201960.png,Carroll,DeMarre,78
79,34,Bulls,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628976.png,Carter Jr.,Wendell,79
80,3,Grizzlies,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628975.png,Carter,Jevon,80
81,15,Hawks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1713.png,Carter,Vince,81
82,4,Lakers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png,Caruso,Alex,82
83,00,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626161.png,Cauley-Stein,Willie,83
84,3,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628505.png,Caupain,Troy,84
85,34,Jazz,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628463.png,Cavanaugh,Tyler,85
86,5,Lakers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2199.png,Chandler,Tyson,86
87,22,Clippers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201163.png,Chandler,Wilson,87
88,31,Hornets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629147.png,Chealey,Joe,88
89,2,Rockets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629185.png,Chiozza,Chris,89
90,3,Cavaliers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627737.png,Chriss,Marquese,90
91,6,Rockets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629109.png,Clark,Gary,91
92,2,Pelicans,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203546.png,Clark,Ian,92
93,8,Cavaliers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203903.png,Clarkson,Jordan,93
94,20,Hawks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628381.png,Collins,John,94
95,33,Trail Blazers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628380.png,Collins,Zach,95
96,2,Pacers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201954.png,Collison,Darren,96
97,50,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629045.png,Colson,Bonzie,97
98,11,Grizzlies,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201144.png,Conley,Mike,98
99,24,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626192.png,Connaughton,Pat,99
100,4,Warriors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626188.png,Cook,Quinn,100
101,0,Warriors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202326.png,Cousins,DeMarcus,101
102,33,Timberwolves,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203496.png,Covington,Robert,102
103,33,Nets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203459.png,Crabbe,Allen,103
104,3,Nuggets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628470.png,Craig,Torrey,104
105,11,Suns,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2037.png,Crawford,Jamal,105
106,99,Jazz,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203109.png,Crowder,Jae,106
107,33,Spurs,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201967.png,Cunningham,Dante,107
108,31,Trail Blazers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203552.png,Curry,Seth,108
109,30,Warriors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201939.png,Curry,Stephen,109
110,30,Suns,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203584.png,Daniels,Troy,110
111,23,Pelicans,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203076.png,Davis,Anthony,111
112,17,Nets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202334.png,Davis,Ed,112
113,14,Hawks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203473.png,Dedmon,Dewayne,113
114,8,Wizards,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626155.png,Dekker,Sam,114
115,31,Clippers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629116.png,Delgado,Angel,115
116,18,Cavaliers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203521.png,Dellavedova,Matthew,116
117,9,Timberwolves,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2736.png,Deng,Luol,117
118,10,Spurs,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201942.png,DeRozan,DeMar,118
119,32,Warriors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629094.png,Derrickson,Marcus,119
120,13,Pelicans,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627767.png,Diallo,Cheick,120
121,6,Thunder,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628977.png,Diallo,Hamidou,121
122,5,Timberwolves,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203476.png,Dieng,Gorgui,122
123,8,Nets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203915.png,Dinwiddie,Spencer,123
124,9,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628978.png,DiVincenzo,Donte,124
125,77,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629029.png,Doncic,Luka,125
126,22,Grizzlies,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628416.png,Dorsey,Tyler,126
127,21,Knicks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628422.png,Dotson,Damyean,127
128,50,Celtics,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628408.png,Dozier,PJ,128
129,7,Heat,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201609.png,Dragic,Goran,129
130,0,Pistons,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203083.png,Drummond,Andre,130
131,6,Nets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201162.png,Dudley,Jared,131
132,32,Bulls,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627739.png,Dunn,Kris,132
133,35,Warriors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201142.png,Durant,Kevin,133
134,0,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628979.png,Duval,Trevon,134
135,12,Rockets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629053.png,Edwards,Vincent,135
136,13,Knicks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627740.png,Ellenson,Henry,136
137,20,Pistons,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201961.png,Ellington,Wayne,137
138,21,76ers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203954.png,Embiid,Joel,138
139,11,76ers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203516.png,Ennis III,James,139
140,14,Spurs,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629234.png,Eubanks,Drew,140
141,10,Warriors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628980.png,Evans,Jacob,141
142,0,Suns,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628393.png,Evans,Jawun,142
143,12,Pacers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201936.png,Evans,Tyreke,143
144,11,Jazz,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203957.png,Exum,Dante,144
145,35,Rockets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202702.png,Faried,Kenneth,145
146,15,Jazz,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202324.png,Favors,Derrick,146
147,6,Bulls,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626245.png,Felicio,Cristiano,147
148,2,Thunder,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101109.png,Felton,Raymond,148
149,23,Thunder,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628390.png,Ferguson,Terrance,149
150,3,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627812.png,Ferrell,Yogi,150
151,10,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627827.png,Finney-Smith,Dorian,151
152,11,Spurs,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627854.png,Forbes,Bryn,152
153,10,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203095.png,Fournier,Evan,153
