,index,year,round,pick,player,position,school
281,703,1994,1,12.0,"Reeves, Khalid",PG,Arizona
282,704,1994,1,13.0,"Rose, Jalen",G/F,Michigan
283,705,1994,1,14.0,"Dare, Yinka",C,George Washington
284,706,1994,1,15.0,"Piatkowski, Eric",SG,Nebraska
285,707,1994,1,16.0,"Rozier, Clifford",PF,Louisville
286,708,1994,1,17.0,"McKie, Aaron",SG,Temple
287,709,1994,1,18.0,"Mobley, Eric",PF,Pittsburgh
288,710,1994,1,19.0,"Dumas, Tony",SG,UMKC
289,711,1994,1,20.0,"Tyler, B.J.",PG,Texas
290,712,1994,1,21.0,"Simpkins, Dickey",PF,Providence
291,713,1994,1,22.0,"Curley, Bill",PF,Boston College
292,714,1994,1,23.0,"Person, Wesley",SG,Auburn
293,715,1994,1,24.0,"Williams, Monty",SF,Notre Dame
294,716,1994,1,25.0,"Minor, Greg",SG,Louisville
295,717,1994,1,26.0,"Ward, Charlie",PG,Florida State
296,718,1994,1,27.0,"Thompson, Brooks",PG,Oklahoma State
297,719,1994,2,28.0,"Thomas, Deon",F/C,Illinois
298,720,1994,2,29.0,"Lang, Antonio",F/G,Duke
299,721,1994,2,30.0,"Eisley, Howard",PG,Boston College
300,722,1994,2,31.0,"Dent, Rodney",F/C,Kentucky
301,723,1994,2,32.0,"McIlvaine, Jim",C,Marquette
302,724,1994,2,33.0,"Alston, Derrick",F,Duquesne
303,725,1994,2,34.0,"Nickerson, Gaylon",G,Northwestern Oklahoma State
304,726,1994,2,35.0,"Smith, Michael",F,Providence
305,727,1994,2,36.0,"Fetisov, Andrei",F,Forum Valladolid
306,728,1994,2,37.0,"Wingfield, Dontonio",F,Cincinnati
307,729,1994,2,38.0,"Hancock, Darrin",G/F,Kansas
308,730,1994,2,39.0,"Miller, Anthony",F,Michigan State
309,731,1994,2,40.0,"Webster, Jeff",F,Oklahoma
310,732,1994,2,41.0,"Njoku, William",PF,St. Mary's (Canada)
311,733,1994,2,42.0,"Collier, Gary",SF,Tulsa
312,734,1994,2,43.0,"Scott, Shawnelle",C,St. John's
313,735,1994,2,44.0,"Bailey, Damon",G,Indiana
314,736,1994,2,45.0,"Morton, Dwayne",F,Louisville
315,737,1994,2,46.0,"Lenard, Voshon",SG,Minnesota
316,738,1994,2,47.0,"Watson, Jamie",F,South Carolina
317,739,1994,2,48.0,"Crudup, Jevon",F/C,Missouri
318,740,1994,2,49.0,"Bruton, Kris",SF,Benedict
319,741,1994,2,50.0,"Claxton, Charles",C,Georgia
320,742,1994,2,51.0,"Funderburke, Lawrence",PF,Ohio State
321,743,1994,2,52.0,"Goldwire, Anthony",PG,Houston
322,744,1994,2,53.0,"Burditt, Albert",PF,Texas
323,745,1994,2,54.0,"Rebrača, Željko",C,KK Partizan
324,746,1995,1,1.0,"Smith, Joe",PF,Maryland
325,747,1995,1,2.0,"McDyess, Antonio",PF,Alabama
326,748,1995,1,3.0,"Stackhouse, Jerry",SG,North Carolina
327,749,1995,1,4.0,"Wallace, Rasheed",PF,North Carolina
328,750,1995,1,5.0,"Garnett, Kevin",PF,Farragut Academy HS
329,751,1995,1,6.0,"Reeves, Bryant",C,Oklahoma State
330,752,1995,1,7.0,"Stoudamire, Damon",PG,Arizona
331,753,1995,1,8.0,"Respert, Shawn",SG,Michigan State
332,754,1995,1,9.0,"O'Bannon, Ed",SF,UCLA
333,755,1995,1,10.0,"Thomas, Kurt",PF/C,TCU
334,756,1995,1,11.0,"Trent, Gary",PF,Ohio
335,757,1995,1,12.0,"Parks, Cherokee",C,Duke
336,758,1995,1,13.0,"Williamson, Corliss",PF,Arkansas
337,759,1995,1,14.0,"Williams, Eric",SF,Providence
338,760,1995,1,15.0,"Barry, Brent",SG,Oregon State
339,761,1995,1,16.0,"Henderson, Alan",PF,Indiana
340,762,1995,1,17.0,"Sura, Bob",SG,Florida State
341,763,1995,1,18.0,"Ratliff, Theo",PF/C,Wyoming
342,764,1995,1,19.0,"Childress, Randolph",PG,Wake Forest
343,765,1995,1,20.0,"Caffey, Jason",PF,Alabama
344,766,1995,1,21.0,"Finley, Michael",SF/SG,Wisconsin
345,767,1995,1,22.0,"Zidek, George",C,UCLA
346,768,1995,1,23.0,"Best, Travis",PG,Georgia Tech
347,769,1995,1,24.0,"Meyer, Loren",PF,Iowa State
348,770,1995,1,25.0,"Vaughn, David",PF/C,Memphis
349,771,1995,1,26.0,"Ford, Sherell",PF,UIC
350,772,1995,1,27.0,"Bennett, Mario",PF,Arizona State
351,773,1995,1,28.0,"Ostertag, Greg",C,Kansas
352,774,1995,1,29.0,"Alexander, Cory",PG,Virginia
353,775,1995,2,30.0,"Roe, Lou",F,UMass
354,776,1995,2,31.0,"Tarlać, Dragan",C,Olympiakos
355,777,1995,2,32.0,"Rencher, Terrence",G,Texas
356,778,1995,2,33.0,"Burrough, Junior",F,Virginia
357,779,1995,2,34.0,"DeClercq, Andrew",PF/C,Florida
358,780,1995,2,35.0,"King, Jimmy",G,Michigan
359,781,1995,2,36.0,"Moten, Lawrence",G,Syracuse
360,782,1995,2,37.0,"King, Frankie",G,Western Carolina
361,783,1995,2,38.0,"Griffith, Rashard",C,Wisconsin
362,784,1995,2,39.0,"Marshall, Donny",F,Connecticut
363,785,1995,2,40.0,"Whitfield, Dwayne",F,Jackson State
364,786,1995,2,41.0,"Meek, Erik",C,Duke
365,787,1995,2,42.0,"Boyce, Donnie",G,Colorado
366,788,1995,2,43.0,"Snow, Eric",PG,Michigan State
367,789,1995,2,44.0,"Pelle, Anthony",C,Fresno State
368,790,1995,2,45.0,"Brown, Troy",F/C,Providence
369,791,1995,2,46.0,"Banks, George",F,UTEP
370,792,1995,2,47.0,"Edney, Tyus",PG,UCLA
371,793,1995,2,48.0,"Davis, Mark",G/F,Texas Tech
372,794,1995,2,49.0,"Allen, Jerome",G,Pennsylvania
373,795,1995,2,50.0,"Lewis, Martin",F,Seward County
374,796,1995,2,51.0,"Bodiroga, Dejan",SF,Olimpia (Stefanel) Milano
375,797,1995,2,52.0,"Hoiberg, Fred",SG,Iowa State
376,798,1995,2,53.0,"Popa, Constantin",C,Miami (Florida)
377,799,1995,2,54.0,"Zukauskas, Eurelijus",C,Neptūnas Klaipėda
378,800,1995,2,55.0,"McDonald, Michael",C,New Orleans
379,801,1995,2,56.0,"Carr, Chris",G,Southern Illinois
380,802,1995,2,57.0,"Martin, Cuonzo",G/F,Purdue
381,803,1995,2,58.0,"Reid, Don",F,Georgetown
382,804,1996,1,1.0,"Iverson, Allen",G,Georgetown
383,805,1996,1,2.0,"Camby, Marcus",C,Massachusetts
384,806,1996,1,3.0,"Abdur-Rahim, Shareef",F,California
385,807,1996,1,4.0,"Marbury, Stephon",G,Georgia Tech
386,808,1996,1,5.0,"Allen, Ray",G,Connecticut
387,809,1996,1,6.0,"Walker, Antoine",F,Kentucky
388,810,1996,1,7.0,"Wright, Lorenzen",C,Memphis
389,811,1996,1,8.0,"Kittles, Kerry",G,Villanova
390,812,1996,1,9.0,"Walker, Samaki",F,Louisville
391,813,1996,1,10.0,"Dampier, Erick",C,Mississippi State
392,814,1996,1,11.0,"Fuller, Todd",C,NC State
393,815,1996,1,12.0,"Potapenko, Vitaly",C,Wright State
394,816,1996,1,13.0,"Bryant, Kobe",G,Lower Merion HS
395,817,1996,1,14.0,"Stojaković, Peja",F,PAOK
396,818,1996,1,15.0,"Nash, Steve",G,Santa Clara
397,819,1996,1,16.0,"Delk, Tony",G,Kentucky
398,820,1996,1,17.0,"O'Neal, Jermaine",F/C,Eau Claire HS 
399,821,1996,1,18.0,"Wallace, John",F,Syracuse
400,822,1996,1,19.0,"McCarty, Walter",F,Kentucky
401,823,1996,1,20.0,"Ilgauskas, Žydrūnas",C,Atletas Kaunas
402,824,1996,1,21.0,"Jones, Dontae",F,Mississippi State
403,825,1996,1,22.0,"Rogers, Roy",F,Alabama
404,826,1996,1,23.0,"Rentzias, Efthimios",C,PAOK
405,827,1996,1,24.0,"Fisher, Derek",G,Arkansas-Little Rock
406,828,1996,1,25.0,"Müürsepp, Martin",F,Tallinna Kalev
407,829,1996,1,26.0,"Williams, Jerome",F,Georgetown
408,830,1996,1,27.0,"Evans, Brian",F,Indiana
409,831,1996,1,28.0,"Lauderdale, Priest",C,Peristeri
410,832,1996,1,29.0,"Knight, Travis",C,Connecticut
411,833,1996,2,30.0,"Harrington, Othella",F/C,Georgetown
412,834,1996,2,31.0,"Hendrickson, Mark",G,Washington State
413,835,1996,2,32.0,"Minor, Ryan",G,Oklahoma
414,836,1996,2,33.0,"Norris, Moochie",G,West Florida
415,837,1996,2,34.0,"Harvey, Shawn",G,West Virginia State
416,838,1996,2,35.0,"Blair, Joseph",C,Arizona
417,839,1996,2,36.0,"Sheffer, Doron",G,Connecticut
418,840,1996,2,37.0,"McInnis, Jeff",G,North Carolina
419,841,1996,2,38.0,"Hamer, Steve",C,Tennessee
420,842,1996,2,39.0,"Millard, Russ",F,Iowa
421,843,1996,2,40.0,"Mann, Marcus",F,Mississippi Valley State
422,844,1996,2,41.0,"Sasser, Jason",F,Texas Tech
423,845,1996,2,42.0,"Livingston, Randy",G,LSU
424,846,1996,2,43.0,"Davis, Ben",F,Arizona
425,847,1996,2,44.0,"Rose, Malik",F,Drexel
426,848,1996,2,45.0,"Vogel, Joe",C,Colorado State
427,849,1996,2,46.0,"Brown, Marcus",G,Murray State
428,850,1996,2,47.0,"Riley, Ron",G/F,Arizona State
429,851,1996,2,48.0,"Feick, Jamie",F,Michigan State
430,852,1996,2,49.0,"McCaskill, Amal",C,Marquette
431,853,1996,2,50.0,"Bell, Terrell",C,Georgia
432,854,1996,2,51.0,"Robinson, Chris",G,Western Kentucky
433,855,1996,2,52.0,"Pope, Mark",F,Kentucky
434,856,1996,2,53.0,"Nordgaard, Jeff",F,Wisconsin–Green Bay
435,857,1996,2,54.0,"Anderson, Shandon",F,Georgia
436,858,1996,2,55.0,"Henderson, Ronnie",G,LSU
437,859,1996,2,56.0,"Geary, Reggie",G,Arizona
438,860,1996,2,57.0,"Barry, Drew",G,Georgia Tech
439,861,1996,2,58.0,"Robinson, Darnell",F,Arkansas
440,862,1997,1,1.0,Tim Duncan,PF/C,Wake Forest
441,863,1997,1,2.0,"Van Horn, Keith",PF,Utah
442,864,1997,1,3.0,"Billups, Chauncey",PG,Colorado
443,865,1997,1,4.0,"Daniels, Antonio",PG,Bowling Green
444,866,1997,1,5.0,"Battie, Tony",C/F,Texas Tech
445,867,1997,1,6.0,"Mercer, Ron",SF,Kentucky
446,868,1997,1,7.0,"Thomas, Tim",SF,Villanova
447,869,1997,1,8.0,"Foyle, Adonal",C,Colgate
448,870,1997,1,9.0,"McGrady, Tracy",SG/SF,Mt. Zion Christian Academy
449,871,1997,1,10.0,"Fortson, Danny",PF,Cincinnati
450,872,1997,1,11.0,"Abdul-Wahad, Tariq",SF,San Jose State
451,873,1997,1,12.0,"Croshere, Austin",PF,Providence
452,874,1997,1,13.0,"Anderson, Derek",SG,Kentucky
453,875,1997,1,14.0,"Taylor, Maurice",PF,Michigan
454,876,1997,1,15.0,"Cato, Kelvin",C,Iowa State
455,877,1997,1,16.0,"Knight, Brevin",PG,Stanford
456,878,1997,1,17.0,"Taylor, Johnny",PF,Chattanooga
457,879,1997,1,18.0,"Anstey, Chris",PF,SE Melbourne Magic
458,880,1997,1,19.0,"Pollard, Scot",C,Kansas
459,881,1997,1,20.0,"Grant, Paul",C,Wisconsin
460,882,1997,1,21.0,"Parker, Anthony",SG,Bradley
461,883,1997,1,22.0,"Gray, Ed",PG/SG,California
462,884,1997,1,23.0,"Jackson, Bobby",PG,Minnesota
463,885,1997,1,24.0,"Rhodes, Rodrick",SG,USC
464,886,1997,1,25.0,"Thomas, John",C,Minnesota
465,887,1997,1,26.0,"Smith, Charles",SG,New Mexico
466,888,1997,1,27.0,"Vaughn, Jacque",PG,Kansas
467,889,1997,1,28.0,"Booth, Keith",SF,Maryland
468,890,1997,2,29.0,"Zwikker, Serge",C,North Carolina
469,891,1997,2,30.0,"Sanford, Mark",SF/PF,Washington
470,892,1997,2,31.0,"O'Bannon, Charles",PG,UCLA
471,893,1997,2,32.0,"Cotton, James",SF,Long Beach State
472,894,1997,2,33.0,"Milič, Marko",PG/SG,Smelt Olimpija
473,895,1997,2,34.0,"Wells, Bubba",SF/PF,Austin Peay
474,896,1997,2,35.0,"Stewart, Kebu",SF/PF,Cal State Bakersfield
475,897,1997,2,36.0,"Collins, James",PG/SG,Florida State
476,898,1997,2,37.0,"Jackson, Marc",SF/PF,Temple
477,899,1997,2,38.0,"Honeycutt, Jerald",PF,Tulane
478,900,1997,2,39.0,"Johnson, Anthony",PG/SG,College of Charleston
479,901,1997,2,40.0,"Elisma, Ed",SF,Georgia Tech
480,902,1997,2,41.0,"Lawson, Jason",C,Villanova
481,903,1997,2,42.0,"Jackson, Stephen",SG,Butler CC
482,904,1997,2,43.0,"Malone, Gordon",SF,West Virginia
483,905,1997,2,44.0,"Henderson, Cedric",PF,Memphis
