,year,round,pick,position,school,firstName,lastName
201,1992,2,40,SG/SF,Alabama State,Steve,Rogers
202,1992,2,41,F,Murray State,Popeye,Jones
203,1992,2,42,C,Georgia Tech,Matt,Geiger
204,1992,2,43,SG,"KK Partizan, Yugoslavia",Predrag,Danilović
205,1992,2,44,G,UNC-Charlotte,Henry,Williams
206,1992,2,45,F,Wake Forest,Chris,King
207,1992,2,46,C,St. John's,Robert,Werdann
208,1992,2,47,C,Pittsburgh,Darren,Morningstar
209,1992,2,48,F/G,Duke,Brian,Davis
210,1992,2,49,PF,Louisiana Tech,Ron,Ellis
211,1992,2,50,F,UNC-Wilmington,Matt,Fish
212,1992,2,51,PF,Jacksonville,Tim,Burroughs
213,1992,2,52,F,Michigan State,Matt,Steigenga
214,1992,2,53,PG,Richmond,Curtis,Blair
215,1992,2,54,SF,Morehead State,Brett,Roberts
216,1993,1,1,PF/C,Michigan,Webber,Chris
217,1993,1,2,C,BYU,Bradley,Shawn
218,1993,1,3,PG/SG,Memphis State,Hardaway,Penny
219,1993,1,4,SF,Kentucky,Mashburn,Jamal
220,1993,1,5,SG,UNLV,Rider,Isaiah
221,1993,1,6,SG/SF,Indiana,Cheaney,Calbert
222,1993,1,7,PG,Duke,Hurley,Bobby
223,1993,1,8,PF,Hartford,Baker,Vin
224,1993,1,9,PF,Wake Forest,Rogers,Rodney
225,1993,1,10,PG,Jackson State,Hunter,Lindsey
226,1993,1,11,SG,Tennessee,Houston,Allan
227,1993,1,12,SF,North Carolina,Lynch,George
228,1993,1,13,SG,Seton Hall,Dehere,Terry
229,1993,1,14,PF,Oregon State,Haskin,Scott
230,1993,1,15,SF,Florida State,Edwards,Doug
231,1993,1,16,SG,Kansas,Walters,Rex
232,1993,1,17,SG,Indiana,Graham,Greg
233,1993,1,18,C,Seton Hall,Wright,Luther
234,1993,1,19,C,Iowa,Earl,Acie
235,1993,1,20,SF,Connecticut,Burrell,Scott
236,1993,1,21,SG,Alabama,Robinson,James
237,1993,1,22,SF,Arizona,Mills,Chris
238,1993,1,23,C,New Orleans,Johnson,Ervin
239,1993,1,24,PG,Florida State,Cassell,Sam
240,1993,1,25,PF,Cincinnati,Blount,Corie
241,1993,1,26,C,LSU,Hammink,Geert
242,1993,1,27,PF,Georgia Tech,Mackey,Malcolm
243,1993,2,28,PG,Long Beach State,Harris,Lucious
244,1993,2,29,F/C,VCU,Mills,Sherron
245,1993,2,30,C,Pau-Orthez,Mureșan,Gheorghe
246,1993,2,31,F,Maryland,Burns,Evers
247,1993,2,32,SG,Mississippi Valley State,Ford,Alphonso
248,1993,2,33,C,Michigan,Riley,Eric
249,1993,2,34,SG,Western Kentucky,Mee,Darnell
250,1993,2,35,C,Arizona,Stokes,Ed
251,1993,2,36,F/C,Tennessee Tech,Best,John
252,1993,2,37,PG,Cincinnati,Van,"Exel, Nick"
253,1993,2,38,PF,Syracuse,McRae,Conrad
254,1993,2,39,SG/SF,Duke,Hill,Thomas
255,1993,2,40,C,Washington,Manning,Rich
256,1993,2,41,F,Tulane,Reed,Anthony
257,1993,2,42,PG,Kansas,Jordan,Adonis
258,1993,2,43,PF,Utah,Grant,Josh
259,1993,2,44,C,Baylor,Holcombe,Alex
260,1993,2,45,SF,Long Beach State,Russell,Bryon
261,1993,2,46,C,UCLA,Petruška,Richard
262,1993,2,47,PG,Clemson,Whitney,Chris
263,1993,2,48,C,NC State,Thompson,Kevin
264,1993,2,49,C,Mississippi Valley State,Buford,Mark
265,1993,2,50,PF,Taugres,Nicola,Marcelo
266,1993,2,51,C,Delaware,Dunkley,Spencer
267,1993,2,52,C,Michigan State,Peplowski,Mike
268,1993,2,53,F,Southern,White,Leonard
269,1993,2,54,SG/SF,Utah,Wilson,Byron
270,1994,1,1,SF,Purdue,Robinson,Glenn
271,1994,1,2,PG,California,Kidd,Jason
272,1994,1,3,SF,Duke,Hill,Grant
273,1994,1,4,SF,Connecticut,Marshall,Donyell
274,1994,1,5,PF,Michigan,Howard,Juwan
275,1994,1,6,PF/C,Clemson,Wright,Sharone
276,1994,1,7,SF,California,Murray,Lamond
277,1994,1,8,PF,Xavier,Grant,Brian
278,1994,1,9,C,North Carolina,Montross,Eric
279,1994,1,10,SG,Temple,Jones,Eddie
280,1994,1,11,SF,Tennessee State,Rogers,Carlos
281,1994,1,12,PG,Arizona,Reeves,Khalid
282,1994,1,13,G/F,Michigan,Rose,Jalen
283,1994,1,14,C,George Washington,Dare,Yinka
284,1994,1,15,SG,Nebraska,Piatkowski,Eric
285,1994,1,16,PF,Louisville,Rozier,Clifford
286,1994,1,17,SG,Temple,McKie,Aaron
287,1994,1,18,PF,Pittsburgh,Mobley,Eric
288,1994,1,19,SG,UMKC,Dumas,Tony
289,1994,1,20,PG,Texas,Tyler,B.J.
290,1994,1,21,PF,Providence,Simpkins,Dickey
291,1994,1,22,PF,Boston College,Curley,Bill
292,1994,1,23,SG,Auburn,Person,Wesley
293,1994,1,24,SF,Notre Dame,Williams,Monty
294,1994,1,25,SG,Louisville,Minor,Greg
295,1994,1,26,PG,Florida State,Ward,Charlie
296,1994,1,27,PG,Oklahoma State,Thompson,Brooks
297,1994,2,28,F/C,Illinois,Thomas,Deon
298,1994,2,29,F/G,Duke,Lang,Antonio
299,1994,2,30,PG,Boston College,Eisley,Howard
300,1994,2,31,F/C,Kentucky,Dent,Rodney
301,1994,2,32,C,Marquette,McIlvaine,Jim
302,1994,2,33,F,Duquesne,Alston,Derrick
303,1994,2,34,G,Northwestern Oklahoma State,Nickerson,Gaylon
304,1994,2,35,F,Providence,Smith,Michael
305,1994,2,36,F,Forum Valladolid,Fetisov,Andrei
306,1994,2,37,F,Cincinnati,Wingfield,Dontonio
307,1994,2,38,G/F,Kansas,Hancock,Darrin
308,1994,2,39,F,Michigan State,Miller,Anthony
309,1994,2,40,F,Oklahoma,Webster,Jeff
310,1994,2,41,PF,St. Mary's (Canada),Njoku,William
311,1994,2,42,SF,Tulsa,Collier,Gary
312,1994,2,43,C,St. John's,Scott,Shawnelle
313,1994,2,44,G,Indiana,Bailey,Damon
314,1994,2,45,F,Louisville,Morton,Dwayne
315,1994,2,46,SG,Minnesota,Lenard,Voshon
316,1994,2,47,F,South Carolina,Watson,Jamie
317,1994,2,48,F/C,Missouri,Crudup,Jevon
318,1994,2,49,SF,Benedict,Bruton,Kris
319,1994,2,50,C,Georgia,Claxton,Charles
320,1994,2,51,PF,Ohio State,Funderburke,Lawrence
321,1994,2,52,PG,Houston,Goldwire,Anthony
322,1994,2,53,PF,Texas,Burditt,Albert
323,1994,2,54,C,KK Partizan,Rebrača,Željko
324,1995,1,1,PF,Maryland,Smith,Joe
325,1995,1,2,PF,Alabama,McDyess,Antonio
326,1995,1,3,SG,North Carolina,Stackhouse,Jerry
327,1995,1,4,PF,North Carolina,Wallace,Rasheed
328,1995,1,5,PF,Farragut Academy HS,Garnett,Kevin
329,1995,1,6,C,Oklahoma State,Reeves,Bryant
330,1995,1,7,PG,Arizona,Stoudamire,Damon
331,1995,1,8,SG,Michigan State,Respert,Shawn
332,1995,1,9,SF,UCLA,O'Bannon,Ed
333,1995,1,10,PF/C,TCU,Thomas,Kurt
334,1995,1,11,PF,Ohio,Trent,Gary
335,1995,1,12,C,Duke,Parks,Cherokee
336,1995,1,13,PF,Arkansas,Williamson,Corliss
337,1995,1,14,SF,Providence,Williams,Eric
338,1995,1,15,SG,Oregon State,Barry,Brent
339,1995,1,16,PF,Indiana,Henderson,Alan
340,1995,1,17,SG,Florida State,Sura,Bob
341,1995,1,18,PF/C,Wyoming,Ratliff,Theo
342,1995,1,19,PG,Wake Forest,Childress,Randolph
343,1995,1,20,PF,Alabama,Caffey,Jason
344,1995,1,21,SF/SG,Wisconsin,Finley,Michael
345,1995,1,22,C,UCLA,Zidek,George
346,1995,1,23,PG,Georgia Tech,Best,Travis
347,1995,1,24,PF,Iowa State,Meyer,Loren
348,1995,1,25,PF/C,Memphis,Vaughn,David
349,1995,1,26,PF,UIC,Ford,Sherell
350,1995,1,27,PF,Arizona State,Bennett,Mario
351,1995,1,28,C,Kansas,Ostertag,Greg
352,1995,1,29,PG,Virginia,Alexander,Cory
353,1995,2,30,F,UMass,Roe,Lou
354,1995,2,31,C,Olympiakos,Tarlać,Dragan
355,1995,2,32,G,Texas,Rencher,Terrence
356,1995,2,33,F,Virginia,Burrough,Junior
357,1995,2,34,PF/C,Florida,DeClercq,Andrew
358,1995,2,35,G,Michigan,King,Jimmy
359,1995,2,36,G,Syracuse,Moten,Lawrence
360,1995,2,37,G,Western Carolina,King,Frankie
361,1995,2,38,C,Wisconsin,Griffith,Rashard
362,1995,2,39,F,Connecticut,Marshall,Donny
363,1995,2,40,F,Jackson State,Whitfield,Dwayne
364,1995,2,41,C,Duke,Meek,Erik
365,1995,2,42,G,Colorado,Boyce,Donnie
366,1995,2,43,PG,Michigan State,Snow,Eric
367,1995,2,44,C,Fresno State,Pelle,Anthony
368,1995,2,45,F/C,Providence,Brown,Troy
369,1995,2,46,F,UTEP,Banks,George
370,1995,2,47,PG,UCLA,Edney,Tyus
371,1995,2,48,G/F,Texas Tech,Davis,Mark
372,1995,2,49,G,Pennsylvania,Allen,Jerome
373,1995,2,50,F,Seward County,Lewis,Martin
374,1995,2,51,SF,Olimpia (Stefanel) Milano,Bodiroga,Dejan
375,1995,2,52,SG,Iowa State,Hoiberg,Fred
376,1995,2,53,C,Miami (Florida),Popa,Constantin
377,1995,2,54,C,Neptūnas Klaipėda,Zukauskas,Eurelijus
378,1995,2,55,C,New Orleans,McDonald,Michael
379,1995,2,56,G,Southern Illinois,Carr,Chris
380,1995,2,57,G/F,Purdue,Martin,Cuonzo
